Shabda,Linga,Anta,Vibhakti,Eka,Dvi,Bahu
राम,पुल्लिङ्ग,अकारान्त,प्रथमा,रामः,रामौ,रामाः
राम,पुल्लिङ्ग,अकारान्त,द्वितीया,रामम्,रामौ,रामान्
राम,पुल्लिङ्ग,अकारान्त,तृतीया,रामेण,रामाभ्याम्,रामैः
राम,पुल्लिङ्ग,अकारान्त,चतुर्थी,रामाय,रामाभ्याम्,रामेभ्यः
राम,पुल्लिङ्ग,अकारान्त,पञ्चमी,रामात्,रामाभ्याम्,रामेभ्यः
राम,पुल्लिङ्ग,अकारान्त,षष्ठी,रामस्य,रामयोः,रामाणाम्
राम,पुल्लिङ्ग,अकारान्त,सप्तमी,रामे,रामयोः,रामेषु
राम,पुल्लिङ्ग,अकारान्त,सम्बोधन,हे राम,हे रामौ,हे रामाः
हरि,पुल्लिङ्ग,इकारान्त,प्रथमा,हरिः,हरी,हरयः
हरि,पुल्लिङ्ग,इकारान्त,द्वितीया,हरिम्,हरी,हरीन्
हरि,पुल्लिङ्ग,इकारान्त,तृतीया,हरिणा,हरिभ्याम्,हरिभिः
हरि,पुल्लिङ्ग,इकारान्त,चतुर्थी,हरये,हरिभ्याम्,हरिभ्यः
हरि,पुल्लिङ्ग,इकारान्त,पञ्चमी,हरेः,हरिभ्याम्,हरिभ्यः
हरि,पुल्लिङ्ग,इकारान्त,षष्ठी,हरेः,हर्योः,हरिणाम्
हरि,पुल्लिङ्ग,इकारान्त,सप्तमी,हरौ,हर्योः,हरिषु
हरि,पुल्लिङ्ग,इकारान्त,सम्बोधन,हे हरे,हे हरी,हे हरयः
पति,पुल्लिङ्ग,इकारान्त,प्रथमा,पतिः,पती,पतयः
पति,पुल्लिङ्ग,इकारान्त,द्वितीया,पतिम्,पती,पतीन्
पति,पुल्लिङ्ग,इकारान्त,तृतीया,पत्या,पतिभ्याम्,पतिभिः
पति,पुल्लिङ्ग,इकारान्त,चतुर्थी,पत्ये,पतिभ्याम्,पतिभ्यः
पति,पुल्लिङ्ग,इकारान्त,पञ्चमी,पत्युः,पतिभ्याम्,पतिभ्यः
पति,पुल्लिङ्ग,इकारान्त,षष्ठी,पत्युः,पत्योः,पतीनाम्
पति,पुल्लिङ्ग,इकारान्त,सप्तमी,पत्यौ,पत्योः,पतिषु
पति,पुल्लिङ्ग,इकारान्त,सम्बोधन,हे पते,हे पती,हे पतयः
सखि,पुल्लिङ्ग,इकारान्त,प्रथमा,सखा,सखायौ,सखायः
सखि,पुल्लिङ्ग,इकारान्त,द्वितीया,सखायम्,सखायौ,सखीन्
सखि,पुल्लिङ्ग,इकारान्त,तृतीया,सख्या,सखिभ्याम्,सखिभिः
सखि,पुल्लिङ्ग,इकारान्त,चतुर्थी,सख्ये,सखिभ्याम्,सखिभ्यः
सखि,पुल्लिङ्ग,इकारान्त,पञ्चमी,सख्युः,सखिभ्याम्,सखिभ्यः
सखि,पुल्लिङ्ग,इकारान्त,षष्ठी,सख्युः,सख्योः,सखीनाम्
सखि,पुल्लिङ्ग,इकारान्त,सप्तमी,सख्यौ,सख्योः,सखिषु
सखि,पुल्लिङ्ग,इकारान्त,सम्बोधन,हे सखे,हे सखायौ,हे सखायः
गुरु,पुल्लिङ्ग,उकारान्त,प्रथमा,गुरुः,गुरू,गुरवः
गुरु,पुल्लिङ्ग,उकारान्त,द्वितीया,गुरुम्,गुरू,गुरून्
गुरु,पुल्लिङ्ग,उकारान्त,तृतीया,गुरुणा,गुरुभ्याम्,गुरुभिः
गुरु,पुल्लिङ्ग,उकारान्त,चतुर्थी,गुरवे,गुरुभ्याम्,गुरुभ्यः
गुरु,पुल्लिङ्ग,उकारान्त,पञ्चमी,गुरोः,गुरुभ्याम्,गुरुभ्यः
गुरु,पुल्लिङ्ग,उकारान्त,षष्ठी,गुरोः,गुर्वोः,गुरूणाम्
गुरु,पुल्लिङ्ग,उकारान्त,सप्तमी,गुरौ,गुर्वोः,गुरुषु
गुरु,पुल्लिङ्ग,उकारान्त,सम्बोधन,हे गुरो,हे गुरू,हे गुरवः
दातृ,पुल्लिङ्ग,तृन्त,प्रथमा,दाता,दातारौ,दातारः
दातृ,पुल्लिङ्ग,तृन्त,द्वितीया,दातारम्,दातारौ,दातॄन्
दातृ,पुल्लिङ्ग,तृन्त,तृतीया,दात्रा,दातृभ्याम्,दातृभिः
दातृ,पुल्लिङ्ग,तृन्त,चतुर्थी,दात्रे,दातृभ्याम्,दातृभ्यः
दातृ,पुल्लिङ्ग,तृन्त,पञ्चमी,दातुः,दातृभ्याम्,दातृभ्यः
दातृ,पुल्लिङ्ग,तृन्त,षष्ठी,दातुः,दात्रोः,दातॄणाम्
दातृ,पुल्लिङ्ग,तृन्त,सप्तमी,दातरि,दात्रोः,दातृषु
